station_name,station_type,province,city,district,start_time,end_time,up_arrival_delay_number,down_arrival_delay_number,up_departure_delay_number,down_depature_delay_number,wind,weather,temperature,major_holiday
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 6:00,2019/10/9 7:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 7:00,2019/10/9 8:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 8:00,2019/10/9 9:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 9:00,2019/10/9 10:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 10:00,2019/10/9 11:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 11:00,2019/10/9 12:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 12:00,2019/10/9 13:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 13:00,2019/10/9 14:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 14:00,2019/10/9 15:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 15:00,2019/10/9 16:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 16:00,2019/10/9 17:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 17:00,2019/10/9 18:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 18:00,2019/10/9 19:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 19:00,2019/10/9 20:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 20:00,2019/10/9 21:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 21:00,2019/10/9 22:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
